"species","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"Felis silvestris",25.346682,41.007795,14.1652183532715,9.95943737030029,33.2516059875488,749.561401367188,30.5074996948242,0.555750012397766,29.9517498016357,6.70295810699463,22.941291809082,23.5757083892822,5.24716663360596,557,78,17,38.4214363098145,207,70,84,185
"Felis silvestris",6.917623,49.677261,7.98966693878174,7.34479141235352,31.2298469543457,614.009582519531,21.3859996795654,-2.1324999332428,23.5184993743896,1.65304160118103,15.1218338012695,15.7360830307007,0.692208349704742,973,107,64,14.6879634857178,290,215,220,273
"Felis silvestris",7.155323,49.603519,7.67758321762085,7.6852502822876,32.0335540771484,617.193420410156,21.38450050354,-2.60675001144409,23.9912509918213,1.31208336353302,14.7964582443237,15.499792098999,0.327083319425583,1007,112,65,15.7151565551758,304,219,225,287
"Felis silvestris",6.456026,50.146412,8.35370826721191,7.64312505722046,32.3057022094727,606.152221679688,21.7604999542236,-1.89824998378754,23.6587505340576,2.11345839500427,4.16949987411499,15.9817914962769,1.14575004577637,938,97,63,12.7667407989502,274,212,219,254
"Felis silvestris",6.455168,50.14542,8.35370826721191,7.64312505722046,32.3057022094727,606.152221679688,21.7604999542236,-1.89824998378754,23.6587505340576,2.11345839500427,4.16949987411499,15.9817914962769,1.14575004577637,938,97,63,12.7667407989502,274,212,219,254
"Felis silvestris",6.585157,50.220173,7.84451007843018,7.6165623664856,32.3692398071289,601.931823730469,21.1717491149902,-2.3585000038147,23.5302486419678,1.70991671085358,10.659125328064,15.4209575653076,0.687583327293396,1005,106,66,14.426064491272,300,222,226,282
"Felis silvestris",6.457655,50.147572,8.35370826721191,7.64312505722046,32.3057022094727,606.152221679688,21.7604999542236,-1.89824998378754,23.6587505340576,2.11345839500427,4.16949987411499,15.9817914962769,1.14575004577637,938,97,63,12.7667407989502,274,212,219,254
"Felis silvestris",19.746196,-32.885682,17.3914070129395,14.7979373931885,52.6584205627441,498.170074462891,31.9995002746582,3.89774990081787,28.101749420166,11.1068744659424,19.8099174499512,23.2100410461426,11.1068744659424,211,35,7,51.3309135437012,90,26,30,90
"Felis silvestris",23.93588,47.161334,8.71354198455811,10.0086669921875,31.8351936340332,819.935791015625,24.7362499237061,-6.70275020599365,31.4389991760254,17.0263328552246,-0.0150001002475619,18.2957916259766,-1.89712500572205,635,94,28,38.9887847900391,250,94,240,109
"Felis silvestris",24.234199,45.644173,6.91864585876465,9.09549999237061,31.6420249938965,746.692749023438,21.7112503051758,-7.03375005722046,28.7450008392334,14.4293336868286,-1.13104164600372,15.9387502670288,-2.42404174804688,704,104,31,43.2597846984863,284,99,275,100
"Felis silvestris",20.700712,-26.36331,20.4304370880127,18.0344161987305,52.7557411193848,605.241760253906,35.805248260498,1.62050008773804,34.1847496032715,26.5798740386963,12.4276256561279,27.2037086486816,12.4276256561279,222,46,2,84.2508239746094,125,6,111,6
"Felis silvestris",-5.8,43.06,9.59984397888184,8.66452121734619,38.0561141967773,519.927917480469,22.4909992218018,-0.27674999833107,22.767749786377,4.51358318328857,16.3310413360596,16.3310413360596,3.71000003814697,1009,111,46,27.401252746582,323,159,159,305
"Felis silvestris",6,50.75,9.45001029968262,7.12639617919922,32.0885963439941,567.478454589844,21.7590007781982,-0.449499994516373,22.2084999084473,3.73254179954529,5.32766675949097,16.507791519165,2.65883326530457,907,86,62,8.81154632568359,241,210,239,233
"Felis silvestris",-4.5,43.01,8.2201042175293,8.63875007629395,37.3777694702148,529.091064453125,21.7017498016357,-1.41024994850159,23.1119995117188,3.16970825195312,15.1074161529541,15.1074161529541,2.28675007820129,968,110,46,27.486421585083,312,158,158,293
"Felis silvestris",7.658693,49.307451,8.63792705535889,8.85539531707764,35.2787055969238,611.861022949219,22.8094997406006,-2.29174995422363,25.1012496948242,4.97004175186157,4.49708318710327,16.3551254272461,1.31554162502289,855,91,56,13.498438835144,249,187,209,227
"Felis silvestris",6.9,50.35,8.20011425018311,7.43077087402344,31.8571968078613,599.544067382812,21.2490005493164,-2.07625007629395,23.3252506256104,2.09033346176147,3.99000000953674,15.731333732605,1.03820836544037,855,86,59,10.5263957977295,242,198,208,228
"Felis silvestris",11,51.5,8.50819778442383,8.14381217956543,32.1077613830566,649.5908203125,22.7357501983643,-2.62825012207031,25.3640003204346,14.956958770752,1.55124998092651,16.5980415344238,0.692583322525024,575,66,33,20.746545791626,186,114,180,118
"Felis silvestris",10.35,51.65,7.8680624961853,7.84716653823853,31.9026184082031,636.363464355469,21.5244998931885,-3.07275009155273,24.5972499847412,15.8110418319702,3.40575003623962,15.8110418319702,0.208916649222374,843,84,53,13.3702163696289,234,180,234,207
"Felis silvestris",7.584301,47.513323,10.2001457214355,8.88716697692871,33.7712821960449,656.544555664062,24.8255004882812,-1.49024999141693,26.3157501220703,16.6589584350586,3.50625014305115,18.3777503967285,2.2427499294281,805,86,49,18.3500595092773,252,154,243,170
"Felis silvestris",3.518362,46.97767,10.5726776123047,9.43435478210449,37.1095237731934,601.903564453125,25.0330009460449,-0.390000015497208,25.4230003356934,16.378625869751,6.50954151153564,18.1626663208008,3.33341670036316,771,76,50,13.9719047546387,210,156,209,185
"Felis silvestris",13.802658,49.924692,7.79108333587646,8.42479133605957,30.9178009033203,716.406982421875,22.7467498779297,-4.50225019454956,27.2490005493164,16.6121253967285,3.2720832824707,16.6121253967285,-1.00233340263367,632,85,34,32.326358795166,234,114,234,118
